Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-01-16 21:16:23.045 +0530,"Success",0:00:04,0,1,0,"20240116_211623.045/LogFile.txt","","",1
2024-01-16 22:02:59.677 +0530,"Aborted",0:04:47,1,0,0,"20240116_220259.677/LogFile.txt","","",0
2024-01-16 22:10:05.316 +0530,"Aborted",0:04:42,1,0,0,"20240116_221005.316/LogFile.txt","","",0
2024-01-16 22:15:17.238 +0530,"Success",0:07:08,0,1,0,"20240116_221517.238/LogFile.txt","","",1
2024-01-16 22:25:33.284 +0530,"Success",0:03:10,0,1,0,"20240116_222533.284/LogFile.txt","","",1
2024-01-17 20:47:10.286 +0530,"Failure",0:00:00,1,0,0,"20240117_204710.286/LogFile.txt","","Workbook Error -- Error loading workbook C:/Users/durgaprasad.surath/OneDrive - Ideabytes/Documents/EggplantSuites/Personal/DemoApplications/Nopcommerces/Nopcommerce_FW.suite/Resources/UserData.xlsx: Permission denied.",0
2024-01-17 20:47:24.028 +0530,"Failure",0:00:00,1,0,0,"20240117_204724.028/LogFile.txt","","STDatabaseError -- Where clause specifies invalid column name 'Falg' (no such column)",0
2024-01-17 20:47:47.229 +0530,"Failure",0:00:00,1,0,0,"20240117_204747.229/LogFile.txt","","STDatabaseError -- Where clause specifies invalid column name 'Flag' (no such column)",0
2024-01-17 20:48:15.572 +0530,"Failure",0:00:04,1,0,1,"20240117_204815.572/LogFile.txt","","No Remote Connection -- imagefound Error - Retrieving Frame Buffer:No Connection to Server\nKalyan_SUT63\n",0
2024-01-17 20:51:16.767 +0530,"Success",0:04:07,0,1,0,"20240117_205116.767/LogFile.txt","","",1
2024-01-17 21:20:35.574 +0530,"Success",0:03:50,0,1,0,"20240117_212035.574/LogFile.txt","","",1
2024-01-17 22:31:23.940 +0530,"Success",0:03:43,0,1,0,"20240117_223123.940/LogFile.txt","","",1
